,model,Brand,os,rating,price,ProcessorName,ProcessorNoCores,ProcessorSpeed,RamSize,RomSize,BatteryCapacity,DisplaySize,DisplayRefreshRate,ExternalCardSupport,3G,4G,G5,Vo5G,SingleSim,DualSim,VoLTE,IRBlaster,Wi-Fi,NFC,TotalMpCameras,log_price
794,itel A56,itel,Android,,5490.0,Quad Core,4,1.3,1.0,16.0,4000.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,8.610683534503575
800,Huawei P40 Pro,Huawei,Android,,82990.0,Kirin 990,8,2.86,8.0,224.0,4200.0,6.58,90,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,82.0,11.326475397592494
817,itel Magic X,itel,Android,,2239.0,No 3G,0,2.2,8.0,0.0,5000.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.713784616598755
835,Eunity U1 King,Eunity,Otro SO,,599.0,1.77 MHz Processor,0,2.2,8.0,0.0,1000.0,1.8,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.395261598115449
838,Gionee K10,Gionee,Android,,6999.0,Tiger  T310,4,2.2,3.0,32.0,4800.0,6.8,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,8.85352256068954
844,CAT S22 Flip,CAT,Android,,14999.0,Qualcomm 215,4,1.3,2.0,16.0,2000.0,6.5,60,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,9.61573881119536
846,DIZO Star 500,DIZO,Otro SO,,1749.0,SC6531E,0,2.2,8.0,0.0,1900.0,2.8,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.466799475018602
852,Nokia 215 4G,Nokia,Otro SO,,3099.0,Unisoc T117,0,2.2,8.0,0.0,1150.0,2.4,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.038834757787749
856,Samsung Galaxy A01 Core,Samsung,Android,,4999.0,(28 nm),4,1.5,1.0,16.0,3000.0,5.3,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,8.51699317141357
857,LG Folder 2,LG,Otro SO,,11999.0,1 GB RAM,0,2.2,8.0,0.0,5000.0,2.8,60,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,9.392578591964389
